time,steps,distance,calories
1739217780,67,46,2.0
1739217720,58,34,2.32
1739217720,33,22,1.0
1739217660,72,43,2.8799999
1739217660,21,14,0.0
1739217600,19,11,0.76
1739217600,37,25,1.0
1739217540,32,19,1.28
1739217480,12,7,0.48
1739217360,36,21,1.4399999
1739216940,12,7,0.48
1739215800,13,7,0.52
1739214780,6,3,0.24
1739214720,18,10,0.71999997
1739213940,12,7,0.48
1739213820,15,9,0.59999996
1739213760,64,38,2.56
1739213700,51,30,2.04
1739213640,17,10,0.68
1739217420,35,24,1.0
1739217000,16,11,0.0
1739216760,14,9,0.0
1739216700,5,3,0.0
1739216460,9,6,0.0
1739215860,13,8,0.0
1739214840,5,3,0.0
1739214780,21,14,0.0
1739214600,2,1,0.0
1739214540,5,3,0.0
1739214000,7,4,0.0
1739213880,35,24,1.0
1739213820,56,38,1.0
1739213760,58,40,1.0
1739213700,21,14,0.0
1739213220,5,3,0.0
1739213160,10,6,0.0
1739213100,33,22,1.0
1739212860,6,4,0.0
1739212380,7,4,0.0
1739212320,37,25,1.0
1739212200,1,0,0.0
1739212140,85,58,2.0
1739212080,33,22,1.0
1739211960,72,49,2.0
1739211900,8,5,0.0
1739211840,89,61,2.0
1739211780,13,8,0.0
1739211660,126,87,4.0
1739211600,120,82,3.0
1739211540,28,19,0.0
1739211480,62,42,1.0
1739211420,89,61,2.0
1739211360,58,40,1.0
1739211300,126,87,4.0
1739211240,5,3,0.0
1739211180,7,4,0.0
1739211120,87,60,2.0
1739211060,35,24,1.0
1739211000,55,38,1.0
1739210940,73,50,2.0
1739210880,6,4,0.0
1739210400,1,0,0.0
1739210340,109,75,3.0
1739210280,95,57,3.8
1739210280,54,37,1.0
1739210220,40,27,1.0
1739210220,36,21,1.4399999
1739210160,20,12,0.79999995
1739210160,18,12,0.0
1739209980,17,11,0.0
1739209860,75,51,2.0
1739209800,50,29,2.0
1739209800,82,56,2.0
1739209740,83,49,3.32
1739209680,1,0,0.0
1739209680,6,3,0.24
1739209620,6,4,0.0
1739208900,78,53,2.0
1739208900,9,5,0.35999998
1739208840,85,51,3.3999999
1739208780,48,33,1.0
1739208720,55,33,2.2
1739208720,59,40,1.0
1739208660,34,23,1.0
1739208660,57,34,2.28
1739208600,44,26,1.76
1739208600,25,18,0.0
1739208540,37,22,1.48
1739208540,13,9,0.0
1739208480,12,7,0.48
1739208480,69,48,2.0
1739208420,83,49,3.32
1739208420,6,5,0.0
1739208360,8,6,0.0
1739208180,8,6,0.0
1739208120,34,24,1.0
1739208060,13,9,0.0
1739201340,6,5,0.0
1739200260,5,4,0.0
1739196960,57,40,1.0
1739196900,77,54,2.0
1739196900,55,33,2.2
1739196840,64,38,2.56
1739196840,98,68,3.0
1739196780,88,52,3.52
1739196780,76,53,2.0
1739196720,51,30,2.04
1739196720,92,64,2.0
1739196660,80,48,3.1999998
1739196660,34,24,1.0
1739196600,6,3,0.24
1739196540,83,58,3.0
1739196480,54,32,2.1599998
1739196480,96,67,4.0
1739196420,98,68,4.0
1739196420,82,49,3.28
1739196360,94,56,3.76
1739196360,78,54,3.0
1739196300,71,42,2.84
1739196240,25,18,1.0
1739196180,29,17,1.16
1739196180,76,53,3.0
1739196120,69,41,2.76
1739196060,27,19,1.0
1739196060,16,9,0.64
1739195820,9,7,1.0
1739191680,1,1,1.0
1739191620,84,59,3.0
1739191560,86,60,3.0
1739191500,100,70,4.0
1739191440,90,63,3.0
1739191380,89,62,3.0
1739191260,65,45,3.0
1739191200,88,61,3.0
1739191140,94,66,3.0
1739191080,75,52,3.0
1739191020,20,14,1.0
1739190660,7,5,1.0
1739190420,30,21,1.0
1739190360,19,11,0.76
1739190360,78,54,3.0
1739190300,74,44,2.96
1739190240,6,5,1.0
1739188500,16,12,1.0
1739188440,28,20,1.0
1739188440,8,4,0.32
1739188380,30,18,1.1999999
1739188080,41,29,2.0
1739188020,40,24,1.5999999
1739188020,41,29,2.0
1739187960,49,28,1.9599999
1739183760,7,5,1.0
1739182260,1,1,1.0
1739182200,2,2,1.0
1739182080,36,25,2.0
1739182020,74,52,3.0
1739182020,31,18,1.24
1739181960,42,25,1.68
1739181960,90,63,3.0
1739181900,88,52,3.52
1739181900,77,54,3.0
1739181840,65,39,2.6
1739181420,59,41,2.0
1739181360,103,72,4.0
1739181360,25,15,1.0
1739181300,95,57,3.8
1739181300,104,72,4.0
1739181240,44,31,2.0
1739181240,100,60,4.0
1739181180,60,36,2.3999999
1739178000,16,12,1.0
1739177940,72,50,3.0
1739177940,16,9,0.64
1739177880,106,63,4.24
1739177880,53,37,2.0
1739177820,72,43,2.8799999
1739177820,60,42,2.0
1739177760,89,62,3.0
1739177760,67,40,2.6799998
1739177700,6,5,1.0
1739177700,101,60,4.04
1739177640,1,0,0.04
1739177520,27,19,1.0
1739177460,90,63,3.0
1739177460,10,6,0.39999998
1739177400,86,51,3.4399998
1739177400,89,62,3.0
1739177340,4,3,1.0
1739177340,96,57,3.84
1739177280,16,9,0.64
1739176560,10,7,1.0
1739175660,36,25,2.0
1739175600,3,3,1.0
1739175600,36,21,1.4399999
1739175540,29,17,1.16
1739175300,12,9,1.0
1739175120,15,11,1.0
1739174760,31,22,1.0
1739174700,20,14,1.0
1739174580,31,22,1.0
1739174520,3,3,1.0
1739174280,7,5,1.0
1739174160,7,5,1.0
1739173620,9,7,1.0
1739144160,24,17,1.0
1739144160,45,27,1.8
1739144100,37,22,1.48
1739144040,8,6,1.0
1739143980,13,7,0.52
1739143740,14,8,0.56
1739143680,16,9,0.64
1739134200,11,7,0.0
1739134020,6,4,0.0
1739133960,8,5,0.0
1739133960,30,18,1.1999999
1739133600,1,0,0.0
1739133540,4,2,0.0
1739132640,9,6,0.0
1739132580,33,22,2.0
1739132400,5,3,0.0
1739132340,14,9,0.0
1739132160,7,4,0.0
1739131560,10,6,0.0
1739129580,3,2,0.0
1739129220,10,6,0.0
1739125200,25,16,1.0
1739125140,19,12,1.0
1739124600,4,2,0.0
1739124540,9,6,0.0
1739123820,22,13,0.88
1739121720,7,4,0.0
1739108880,18,12,1.0
1739108820,32,21,2.0
1739108760,40,24,1.5999999
1739108640,23,15,1.0
1739108580,18,10,0.71999997
1739108040,6,4,0.0
1739107560,20,12,0.79999995
1739104560,6,4,0.0
1739102280,7,4,0.0
1739102220,28,18,1.0
1739102100,15,10,1.0
1739101620,6,4,0.0
1739101260,42,28,3.0
1739101200,6,4,1.0
1739101140,5,3,1.0
1739101020,20,13,2.0
1739100960,44,29,4.0
1739100720,7,5,1.0
1739100660,5,4,1.0
1739100600,12,9,1.0
1739100540,26,18,2.0
1739100240,8,6,1.0
1739100120,47,32,4.0
1739100060,4,3,1.0
1739099400,12,9,1.0
1739099340,12,9,1.0
1739099160,5,4,1.0
1739094420,11,8,1.0
1739066340,5,4,1.0
1739065800,17,12,2.0
1739065680,5,4,1.0
1739065620,25,15,1.0
1739065620,26,18,2.0
1739065560,37,22,1.48
1739064120,8,6,1.0
1739064000,42,29,3.0
1739063940,35,21,1.4
1739063940,40,27,3.0
1739062860,9,7,1.0
1739057460,5,4,1.0
1739055900,3,3,1.0
1739054040,9,6,0.0
1739053920,3,2,0.0
1739047320,71,47,3.0
1739047260,24,16,1.0
1739047260,39,23,1.56
1739047200,33,19,1.3199999
1739045220,18,12,0.0
1739045160,14,8,0.56
1739045160,24,16,1.0
1739045100,19,11,0.76
1739045040,10,6,0.0
1739044740,12,7,0.48
1739044680,21,12,0.84
1739043720,19,11,0.76
1739041260,19,11,0.76
1739041140,20,12,0.79999995
1739035140,23,13,0.91999996
1739030820,1,0,0.0
1739030760,9,6,0.0
1739029560,7,4,0.0
1739021340,6,4,0.0
1739019900,5,3,0.0
1739019840,11,6,0.44
1739019780,32,21,1.0
1739019720,27,16,1.0799999
1739019660,30,17,1.2
1739018100,37,24,2.0
1739018040,42,28,2.0
1739017980,15,10,0.0
1739017920,19,12,1.0
1739016360,40,26,2.0
1739016240,11,7,0.0
1739016180,16,10,0.0
1739016120,5,3,0.0
1739015340,13,8,0.0
1739015280,5,3,0.0
1739014980,23,15,1.0
1739014920,11,6,0.44
1739014800,39,26,2.0
1739014740,20,13,1.0
1739014680,16,9,0.64
1739014680,18,12,0.0
1739014620,2,1,0.08
1739014320,19,12,1.0
1739014260,15,10,0.0
1739014200,8,5,0.0
1739014140,1,0,0.0
1739014080,32,21,1.0
1739014020,11,7,0.0
1739013240,7,4,0.0
1739012640,5,3,0.0
1739012520,5,3,1.0
1739012220,27,19,2.0
1739012100,11,8,1.0
1739011860,7,5,1.0
1739011500,15,9,0.59999996
1739011440,1,1,1.0
1739011380,7,5,1.0
1739011320,11,6,0.44
1739011260,3,3,1.0
1739010060,21,12,0.84
1739009580,8,6,1.0
1739009520,6,5,1.0
1739005440,15,9,0.59999996
1739003880,11,6,0.44
1738999740,9,7,1.0
1738997220,14,10,1.0
1738992480,12,9,1.0
1738973220,11,6,0.44
1738972740,53,36,3.0
1738972680,7,5,1.0
1738972020,1,1,1.0
1738971960,12,9,1.0
1738971900,7,5,1.0
1738971780,42,29,3.0
1738971720,16,11,1.0
1738971720,16,9,0.64
1738971540,6,5,1.0
1738971240,6,5,1.0
1738971120,10,7,1.0
1738971060,15,11,1.0
1738971000,11,6,0.44
1738970940,14,10,1.0
1738970880,34,20,1.36
1738969260,13,7,0.52
1738969260,60,41,4.0
1738969200,62,37,2.48
1738969200,75,51,5.0
1738969140,72,52,2.0
1738969140,88,52,3.52
1738969080,60,36,2.3999999
1738968780,4,2,0.0
1738968720,8,5,0.0
1738968420,5,3,0.0
1738968360,14,8,0.56
1738968240,7,5,0.0
1738967940,12,8,0.0
1738967460,8,5,0.0
1738967400,10,7,0.0
1738967340,7,5,0.0
1738967040,3,2,0.0
1738966320,9,6,0.0
1738966020,5,3,0.0
1738965960,16,9,0.64
1738965720,5,3,0.0
1738965660,10,7,0.0
1738965240,18,10,0.71999997
1738964460,12,7,0.48
1738964340,7,5,0.0
1738964040,10,7,0.0
1738963020,18,13,0.0
1738962960,11,6,0.44
1738962720,13,7,0.52
1738962420,7,5,0.0
1738962000,14,8,0.56
1738961520,11,6,0.44
1738961160,13,7,0.52
1738961040,7,5,0.0
1738960860,30,21,0.0
1738960800,7,5,0.0
1738960800,17,10,0.68
1738960740,9,5,0.35999998
1738960740,55,39,1.0
1738960680,41,29,1.0
1738960680,51,30,2.04
1738960620,56,33,2.24
1738960620,8,5,0.0
1738959360,76,55,2.0
1738959300,13,9,0.0
1738959300,64,38,2.56
1738959240,21,12,0.84
1738956360,11,6,0.44
1738956300,6,3,0.24
1738956180,41,23,1.6399999
1738955940,28,16,1.12
1738955820,48,28,1.92
1738955760,86,51,3.4399998
1738955700,95,57,3.8
1738955640,83,49,3.32
1738955580,114,68,4.56
1738955520,112,65,4.4799995
1738955460,11,6,0.44
1738953180,6,3,0.24
1738953120,5,3,0.19999999
1738952280,74,44,2.96
1738952220,53,31,2.12
1738952160,79,47,3.1599998
1738952100,28,16,1.12
1738952040,69,41,2.76
1738951980,9,5,0.35999998
1738951920,96,57,3.84
1738951860,30,18,1.1999999
1738951800,36,21,1.4399999
1738951740,104,62,4.16
1738951680,37,22,1.48
1738956420,7,5,0.0
1738956360,8,5,0.0
1738956240,6,4,0.0
1738956120,5,3,0.0
1738956000,27,19,0.0
